unit_name,room_occupied,people_count,occupation_level,ambient_noise,ambient_temp,relative_humidity,sound_level,time_stamp
Steffen Bruening Desk Pro,True,1,100.0,34,26.4,50,34,2025-04-28 17:16:41+02:00
Steffen Bruening Desk Pro,True,1,100.0,34,26.4,51,34,2025-04-28 17:17:09+02:00
Steffen Bruening Desk Pro,True,1,100.0,34,26.4,51,34,2025-04-28 17:17:20+02:00
Steffen Bruening Desk Pro,True,1,100.0,34,26.4,50,34,2025-04-28 17:18:25+02:00
Steffen Bruening Desk Pro,True,1,100.0,34,26.4,51,35,2025-04-28 17:19:14+02:00
Steffen Bruening Desk Pro,True,1,100.0,34,26.4,51,34,2025-04-28 17:21:08+02:00
Steffen Bruening Desk Pro,True,1,100.0,34,26.5,51,36,2025-04-28 17:21:46+02:00
Steffen Bruening Desk Pro,True,1,100.0,34,26.5,51,34,2025-04-28 17:26:10+02:00
Steffen Bruening Desk Pro,True,1,100.0,34,26.5,50,34,2025-04-28 17:43:38+02:00
Steffen Bruening Desk Pro,True,1,100.0,34,26.6,51,34,2025-04-28 18:04:07+02:00
unknown,False,0,0,0,0,0,0,2025-04-28 18:05:29+0200
Steffen Bruening Desk Pro,True,1,100.0,32,26.4,50,36,2025-04-28 18:46:24+02:00
Steffen Bruening Desk Pro,True,1,100.0,32,26.3,50,33,2025-04-28 19:03:07+02:00
Steffen Bruening Desk Pro,True,1,100.0,34,26.2,44,35,2025-04-30 18:19:36+02:00
Steffen Bruening Desk Pro,True,1,100.0,34,26.2,44,35,2025-04-30 18:20:49+02:00
Steffen Bruening Desk Pro,True,1,100.0,34,26.2,44,37,2025-04-30 18:26:37+02:00
